order,video_id,topic_category,hook_type,pacing_speed,duration_sec,views,likes,shares,comments,saves,engagement_rate_pct,title,url
298,"7312680503637773570","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Menu pasta simple guna 4 bahan je. Sedap makan dengan Sambal Nyet. Boleh tekan bag kuning untuk restock 😁 #makanlokal #foodtok #foodfestontiktok #sambalnyet  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7312680503637773570"
299,"7312014455758392577","BEHIND_THE_SCENES_BISNES","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Seringgit je harga cendol. Mee bandung & bihun sup dia pun sedap. Korang kena try  📍Nizam Cendol Goncang, Taman Melati KL (dah mintak izin owner untuk tolong viralkan 😊) #makanlokal #foodtok #foodfestontiktok  created by Khairulaming with Kevin MacLeod & Kevin The Monkey’s Monkeys Spinning Monkeys","https://www.tiktok.com/@khairulaming/video/7312014455758392577"
300,"7310235059942886658","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"12.12 campaign dah bermula guyssss! Korang boleh shopping sepuas hati. Nak voucher lebih untuk shopping 12.12 ni? Jangan risau korang join CHALLENGE & WIN A HOLIDAY & 12.12 Travel Beauty Bag! Nak tahu lebih lanjut boleh tengok di account TikTok @tiktokshop_my 🇲🇾 😎#TikTokShop1212DoubleSuperSale created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7310235059942886658"
301,"7309708998087822594","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Resipi burger ala prosperity. Boleh cuba buat sendiri kat rumah, senang jeee and sedap 😋 #makanlokal #foodtok #foodfestontiktok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7309708998087822594"
302,"7308220625099836674","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"100 hari lagi Ramadan akan kembali. Diharapkan kita semua dipanjangkan umur untuk berjumpa lagi ramadan nanti. 30 Hari 30 Resipi akan kembali untuk tahun ke-7 😊  created by Khairulaming with Raihan’s Harapan Ramadan (with Man Bai)","https://www.tiktok.com/@khairulaming/video/7308220625099836674"
303,"7304978056005897473","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Jalan-jalan ke Golok, Thailand 🇹🇭 Kalau datang Kelantan boleh bawak passport and singgah sini. Sedap sangat makan nasi komok 😭😭  Nama kedai : Nasi Khaomok Jeeraphan 2 #foodtok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7304978056005897473"
304,"7303844087608741122","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Makan panas-panas ni memang boleh kecur air liur 😭😭 Boleh tengok bag kuning untuk dapatkan Sambal Nyet okeh! #makanlokal #foodtok #sambalnyet  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7303844087608741122"
305,"7301928107911515393","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Jom buat Fish & Chips dan juga Creamy Cajun Pasta. Sedapp wehh rasa macam makan kat kedai 🥹 Korang jangan lupa dapatkan periuk dan juga kuali Cosmic Cookware okeh. Masak sedap-sedap 😋😋 #makanlokal #foodtok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7301928107911515393"
306,"7299689814213889282","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Jangan lupa tengok live 8pm malam ni! Boleh shopping sebanyak yang boleh sebab malam ni paling banyak voucher, discount dan subsidi korang akan dapat untuk 11.11. Btw nanti search je “KA1111Voucher” kat tiktok ni and korang akan dapat discount besar 🔥🔥 created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7299689814213889282"
307,"7297238718870490370","RESEPI_VIRAL_HARIAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Video ni dah lalu ke FYP korang? 🤣🤣 First time masuk iklan macam ni 🥹 Btw 11.11 campaign dah start guysss. Dari 3-11 Nov, korang boleh dapat baucar Penghantaran Percuma harian, Tawaran Mega harian dan peluang untuk menang  percutian ke Perth! #TikTokShop1111DoubleMegaDeal  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7297238718870490370"
308,"7292654076804762882","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ya Allah permudahkanlah perjuangan saudara kita 🤲🥺 created by Khairulaming with Fadhilah Intan’s Dawai (From ""Air Mata Di Ujung Sajadah"")","https://www.tiktok.com/@khairulaming/video/7292654076804762882"
309,"7291160893331639554","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Makan Sambal Nyet dengan ayam goreng kunyit, telur mata, nasi putih dan kicap #makanlokal #foodtok #sambalnyet  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7291160893331639554"
310,"7290084794732514561","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Hari ni kita salurkan Rm 100k daripada Sambal Nyet ke tabung Cinta G AZ A Malaysia (CGM) untuk membantu saudara kita di sana. Sumbangan ini datang daripada sokongan anda semua selama ni. Dalam masa yang sama I want to help CGM untuk penuhkan kutipan derma 10 juta ringgit yang diperlukan untuk bantuan bahan api, ubat-ubatan, makanan, peralatan search & rescue dan lain-lain lagi. Buat masa sekarang dah 6 juta ringgit terkumpul. Tak lama lagi bumi G AZ A akan masuk musim sejuk. Jadi jom kita ajak ramai2 untuk penuhkan tabung ni and you guys boleh cari cara untuk menderma di semua profile social media saya. Kalau anda tak dapat menderma, jangan sesekali risau. yang penting kita bantu dengan doa, ambil tahu dan sebarkan awareness sebanyak yang mungkin. Semoga perjuangan saudara kita di sana dipermudahkan amin.  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7290084794732514561"
